revision_run_id,initial_run_id,case_id,domain,condition,model_slot,repetition,update_id,update_type,prompt_hash,provider,model_id,status,initial_attribution,initial_confidence,initial_action,revised_attribution,confidence,revision_decision,justification,evidence_affected,input_tokens,output_tokens,total_tokens,executed_at_utc
RUN_0070__PX_1006_MD,RUN_0070,PX_1006,accountability,C2,model_1,2,PX_1006_MD,material_defeater,3ed64ce083b49ea7360e706333463258fd0fca86e027382fe0344ce2ddccda77,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,90,maintain,"The additional audit information reinforces, rather than undermines, the earlier conclusion that accountable decision-making is partially supported. The documented procedure still assigns the final case-level decision to the claims reviewer, reviewers still provide a free-text rationale, the human review record identifies consulted evidence, and reconsideration outcomes remain attached to the original decision record. These features continue to support identifiable responsibility and some ability to reconstruct and review decisions. The new evidence also shows that reviewer performance assessments include an agreement-rate indicator and that overrides above 12% trigger managerial review, which adds an oversight mechanism tied to reviewer decision behavior. However, this also introduces a performance-management influence on reviewer behavior: 17 of 21 reviewers reported considering the agreement-rate indicator when deciding whether to override a recommendation. That means the process is not fully transparent as a pure accountability mechanism, because reviewer choices may be shaped by managerial consequences not previously documented. Overall, the evidence still supports accountable decision-making in part, but not enough to elevate the attribution to fully supported.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""The human review record identifies the evidence consulted."", ""Reconsideration outcomes are retained with the original decision record."", ""An internal audit found that reviewer performance assessments include an agreement-rate indicator comparing final decisions with model recommendations."", ""An override rate above 12% triggers managerial review of the reviewer's case history."", ""17 of 21 reviewers reported considering the agreement-rate indicator when deciding whether to override a recommendation.""]",1399,344,1743,2026-08-14T08:09:19.045566+00:00
RUN_0070__PX_1006_NC,RUN_0070,PX_1006,accountability,C2,model_1,2,PX_1006_NC,non_material_control,988e350d667284a1216fc9ca63a6ac53e88c13403996c2708bc762fbd7856f97,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,92,maintain,"The additional information does not materially alter the evidential basis for accountability. The role formerly identified as Senior Claims Reviewer has been renamed Claims Review Lead, but its responsibilities, escalation rules, and decision authority are unchanged. The existing evidence still supports accountable decision-making in part: the final case-level decision is assigned to the claims reviewer, reviewers must provide a free-text rationale, the human review record identifies consulted evidence, final disposition is stored separately from the model recommendation, and reconsideration outcomes are retained with the original decision record. These features identify human responsibility and preserve information for reconstruction and review. However, the record still does not establish full operational accountability for the entire AI-assisted process, especially regarding how escalated disagreements are handled in practice beyond the unchanged role description. The renaming alone does not strengthen or weaken the attribution.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""The organisation renamed the role 'Senior Claims Reviewer' to 'Claims Review Lead'. The responsibilities, escalation rules, and decision authority assigned to the role were unchanged.""]",1341,256,1597,2026-08-14T08:09:21.881196+00:00
RUN_0068__PX_1006_MD,RUN_0068,PX_1006,accountability,C1,model_2,2,PX_1006_MD,material_defeater,cc4ffa91b95ce92685a469693ba21420ad0e67aaca7d65823d70de91d8bd2e8d,gemini,gemini-3.5-flash,completed,supported,90,affirm,partially_supported,90,weaken,"The new information reveals that while formal procedures designate human reviewers as the final, accountable decision-makers, in practice, their independence is compromised by performance incentives. Specifically, triggering a managerial review for override rates exceeding 12% creates a systemic disincentive to challenge the model's recommendations, as confirmed by a significant majority of surveyed reviewers. This undermines the formal delegation of accountability to human reviewers.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Human reviewers determine the final disposition of individual claims.""]",1188,138,1693,2026-08-14T12:32:01.510252+00:00
RUN_0068__PX_1006_NC,RUN_0068,PX_1006,accountability,C1,model_2,2,PX_1006_NC,non_material_control,ab4d1e6244515219121ef8cc7e817dae1275c160aec865681369734cf682a9ca,gemini,gemini-3.5-flash,completed,supported,90,affirm,supported,90,maintain,"The additional information indicates that the role 'Senior Claims Reviewer' was renamed to 'Claims Review Lead' but notes that responsibilities, escalation rules, and decision authority remain completely unchanged. Since this is a purely administrative title change, it does not affect the substance of the accountability structures or the validity of the previous assessment.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1125,141,1559,2026-08-14T12:32:04.238254+00:00
RUN_0063__PX_1006_MD,RUN_0063,PX_1006,accountability,C0,model_2,1,PX_1006_MD,material_defeater,453103c749b5715395321ae0e07df3eec3c2bd44a3b533edc6dd1832cde425d3,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,90,weaken,"The previous assessment attributed accountable human decision-making to the process based on documented procedures where reviewers make the final decision and override disagreements. However, the newly introduced audit information reveals that performance-management incentives heavily discourage reviewers from overriding the AI's recommendations (overrides >12% trigger managerial reviews, with 17 of 21 reviewers admitting this influences their decisions). This materially weakens the actual human accountability and agency, indicating that the formal delegation of authority is compromised in practice by systemic pressures to align with the AI.","[""Human reviewers determine the final disposition of individual claims."", ""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1011,217,1228,2026-08-14T12:32:05.953744+00:00
RUN_0063__PX_1006_NC,RUN_0063,PX_1006,accountability,C0,model_2,1,PX_1006_NC,non_material_control,d6b66348af40592dcd63c6d2b97d1e5f1a679d7e388e073b3af7d8ee883e8532,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information details a minor role name change ('Senior Claims Reviewer' to 'Claims Review Lead') but states that the responsibilities, escalation rules, and decision authority remain completely unchanged. This does not materially affect the evidential basis, logic, or validity of the previous assessment attributing accountable decision-making to the AI-assisted process.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",948,145,1093,2026-08-14T12:32:07.489240+00:00
RUN_0062__PX_1006_MD,RUN_0062,PX_1006,accountability,C0,model_1,2,PX_1006_MD,material_defeater,549499fa165bc1147ae1d714cd99f8672d96edf53b744f7ff30941bc84e3c57c,openai,gpt-5.4-mini-2026-03-17,completed,supported,88,affirm,partially_supported,84,weaken,"The original evidence still supports attributing accountable decision-making to the process in a limited sense: the documented procedure assigns the final case-level decision to the claims reviewer, the reviewer records evidence consulted and a free-text rationale, and disagreements can be escalated to a Senior Claims Reviewer. However, the additional audit information materially weakens the attribution because reviewer performance assessments include an agreement-rate indicator comparing final decisions with model recommendations, and an override rate above 12% triggers managerial review of the reviewer’s case history. Interview evidence that 17 of 21 reviewers considered the agreement-rate indicator when deciding whether to override a recommendation shows that the model agreement metric is influencing reviewer behaviour. This creates a stronger basis for saying the process is not purely attributable to the human final decision-maker alone, even though the human reviewer still formally holds the final disposition. The evidence therefore supports accountable decision-making only partially rather than straightforwardly.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""An internal audit found that reviewer performance assessments include an agreement-rate indicator comparing final decisions with model recommendations."", ""An override rate above 12% triggers managerial review of the reviewer's case history."", ""In interviews during the audit, 17 of 21 reviewers reported considering the agreement-rate indicator when deciding whether to override a recommendation.""]",1126,331,1457,2026-08-14T08:09:26.705803+00:00
RUN_0062__PX_1006_NC,RUN_0062,PX_1006,accountability,C0,model_1,2,PX_1006_NC,non_material_control,5adafec9bf6999642715ad5937d6e71670d7fe5ac64fd5608fdea052250e3194,openai,gpt-5.4-mini-2026-03-17,completed,supported,88,affirm,supported,97,maintain,"The additional information is purely a role rename from 'Senior Claims Reviewer' to 'Claims Review Lead' and explicitly states that responsibilities, escalation rules, and decision authority are unchanged. This does not materially alter the evidential basis for attributing accountable decision-making to the AI-assisted process. The existing evidence still shows that the final case-level decision is assigned to the claims reviewer, disagreements are escalated to the designated senior role, the reviewer records the evidence consulted and a free-text rationale, and reconsideration outcomes are retained with the original decision record. These features continue to support accountable human decision-making within the process.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""The organisation renamed the role 'Senior Claims Reviewer' to 'Claims Review Lead'. The responsibilities, escalation rules, and decision authority assigned to the role were unchanged.""]",1068,213,1281,2026-08-14T08:09:28.531201+00:00
RUN_0058__PX_1005_MD,RUN_0058,PX_1005,robustness,C2,model_1,2,PX_1005_MD,material_defeater,05d29ed6376eb39970b14d66856a8e62ca267d3cd0dc931523e712ed8f357bb9,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,86,affirm,partially_supported,91,weaken,"The original partial attribution remains the best fit, but the new deployment evidence materially weakens the robustness claim. The prior evidence showed acceptable performance under several predefined perturbations, formatting variation, OCR degradation, and limited out-of-distribution testing, which supported some robustness beyond nominal conditions. However, the newly observed second-hospital templates were not represented in the validation corpus, yet they fall within the intended deployment categories; on these documents, accuracy dropped to 72.6%, and the out-of-distribution mechanism flagged only 31.2%. This shows that the system's behavior is not robust across at least one relevant real-world deployment condition within scope. The earlier evidence still supports some robustness under tested conditions, but the added information reveals a significant untested/underperforming template variation, so the attribution should be weakened rather than strengthened or fully supported.","[""A second hospital began using document templates that were not represented in the original validation corpus."", ""These templates fall within the deployment categories specified for the system."", ""Accuracy for 4,830 documents using these templates was 72.6%."", ""The out-of-distribution mechanism flagged 31.2% of these documents."", ""No other measured deployment category showed a comparable change during the same period."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism.""]",1418,398,1816,2026-08-14T08:09:32.366146+00:00
RUN_0058__PX_1005_NC,RUN_0058,PX_1005,robustness,C2,model_1,2,PX_1005_NC,non_material_control,e988c16e65a8007af73961aa2fceff2758b80a470f472d4361fb27c54cd077c2,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,86,affirm,partially_supported,93,maintain,"The additional information states that the robustness-test report was migrated to a new document-management system while the datasets, tested conditions, test procedures, and reported results remained unchanged. This does not materially alter the evidential basis. The existing evidence still shows robustness beyond nominal conditions through multiple perturbation tests, formatting variation, OCR degradation, random removal of non-critical fields, and out-of-distribution flagging, but it remains limited to the predefined validation scope and does not establish robustness across the full deployment context. The incomplete out-of-distribution detection also remains relevant. Therefore, the prior qualified attribution is still warranted and should be maintained.","[""The robustness-test report was migrated to a new document-management system."", ""The datasets, tested conditions, test procedures, and reported results were unchanged."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]",1371,314,1685,2026-08-14T08:09:34.294454+00:00
RUN_0055__PX_1005_MD,RUN_0055,PX_1005,robustness,C1,model_2,1,PX_1005_MD,material_defeater,382a7db4bb8e9bbb8e05f3653916d55c45776cb8155775de8da388fb1f0e5a34,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,90,weaken,"The additional evidence demonstrates that when the system is deployed using new document templates from a second hospital (which fall within the deployment categories), its performance drops significantly to 72.6%, and the out-of-distribution mechanism only flags 31.2% of them. This shows that the system lacks robustness against realistic template variations encountered within its intended deployment scope, meaning the operational robustness is only partially supported by the initial synthetic validation tests.","[""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism.""]",1226,178,1895,2026-08-14T12:32:11.072625+00:00
RUN_0055__PX_1005_NC,RUN_0055,PX_1005,robustness,C1,model_2,1,PX_1005_NC,non_material_control,47dd695dee28ff7a2c3c337c18b6ab2149589d6e42acc45c52864bc4c97a1bc6,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information indicates that the robustness-test report was migrated to a new document-management system, but explicitly states that the datasets, tested conditions, test procedures, and reported results remain unchanged. This administrative migration does not materially affect the evidential basis or reasoning supporting the previous attribution, so the attribution of supported is maintained.",[],1176,113,1385,2026-08-14T12:32:12.960089+00:00
RUN_0050__PX_1005_MD,RUN_0050,PX_1005,robustness,C0,model_1,2,PX_1005_MD,material_defeater,3d55f95df6c8e4ddb8f146ed77e44727a13007c8cfd1f587625ff0adfc4c4a84,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,92,weaken,"The original evidence still supports some operational robustness because the system performed well in standard validation and under several predefined perturbations, and the validation results were reproduced by a separate team. However, the new hospital data materially weakens the case for attributing operational robustness in the deployment context: a document template type that was not represented in the original validation corpus but does fall within the deployment categories showed substantially lower accuracy (72.6% across 4,830 documents), and the out-of-distribution mechanism flagged only 31.2% of those documents. This indicates an important performance drop on a deployment-relevant template variation not covered by the original validation evidence. The evidence still does not establish full robustness across all operational conditions, but it does show that robustness is less secure than the prior assessment suggested.","[""Second hospital templates not represented in the original validation corpus; 4,830 documents; accuracy 72.6%."", ""Out-of-distribution mechanism flagged 31.2% of these documents."", ""Standard-condition validation accuracy: 95.2%."", ""10% randomly removed non-critical fields: accuracy was 93.7%."", ""Predefined OCR degradation transformation: accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Predefined perturbation test accuracies: 92.8%, 90.9%, and 93.4%."", ""Separate validation team reproduced the reported tests.""]",1176,334,1510,2026-08-14T08:09:37.210614+00:00
RUN_0050__PX_1005_NC,RUN_0050,PX_1005,robustness,C0,model_1,2,PX_1005_NC,non_material_control,d6a585967ac397f6cf66cf81b4b784e1c8a5b7f2ecaccf694b717dadff6c2979,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,92,maintain,"The added information states that the robustness-test report was migrated to a new document-management system, while the datasets, tested conditions, test procedures, and reported results remained unchanged. This does not materially alter the evidential basis. The existing evidence still supports some operational robustness: high standard accuracy, only moderate accuracy reductions under predefined perturbations, reproducible validation, and strong out-of-distribution flagging for excluded-class samples. However, the evidence remains limited to predefined validation tests and does not establish full robustness across the broader deployment context described.","[""The robustness-test report was migrated to a new document-management system."", ""The datasets, tested conditions, test procedures, and reported results were unchanged."", ""Standard-condition validation accuracy: 95.2%."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Out-of-distribution test set: 1,127 of 1,200 samples were flagged by the OOD mechanism."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]",1129,306,1435,2026-08-14T08:09:39.318746+00:00
RUN_0057__PX_1005_MD,RUN_0057,PX_1005,robustness,C2,model_1,1,PX_1005_MD,material_defeater,fbb591b2f105c4853d58dd26a0402c90b6e9a1b34a04fd604bacce55aaa31ce3,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,93,weaken,"The original evidence already supported only a partial attribution of operational robustness because performance remained fairly high across several predefined perturbation and distribution-shift tests, but the evidence was not sufficient to establish robustness across the deployment scope. The new information materially weakens that inference: a second hospital used document templates within the deployment categories, yet accuracy on 4,830 such documents dropped to 72.6%, and the out-of-distribution mechanism flagged only 31.2% of them. This shows that the system’s performance can deteriorate substantially on deployment-relevant inputs that were not represented in the original validation corpus, which directly limits the robustness claim for the described context. The separate validation reproduction still supports the credibility of the reported tests, but it does not offset the newly observed deployment-relevant degradation. Overall, the evidence still supports some robustness under the tested conditions, but not enough to attribute operational robustness broadly for the deployment context.","[""A second hospital began using document templates that were not represented in the original validation corpus. These templates fall within the deployment categories specified for the system. Accuracy for 4,830 documents using these templates was 72.6%."", ""The out-of-distribution mechanism flagged 31.2% of these documents."", ""No other measured deployment category showed a comparable change during the same period."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]",1467,396,1863,2026-08-14T08:09:41.617607+00:00
RUN_0057__PX_1005_NC,RUN_0057,PX_1005,robustness,C2,model_1,1,PX_1005_NC,non_material_control,d3048f54d3b51f1f7055ed7773018dc6a3b0b8b55fe7f9c0212062add9aed200,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,affirm,partially_supported,91,maintain,"The additional information does not materially change the evidential basis: the robustness-test report was migrated to a new document-management system, but the datasets, tested conditions, test procedures, and reported results were unchanged. The existing evidence still shows performance remaining relatively high across several non-nominal conditions relevant to the deployment context, including removed non-critical fields, OCR degradation, formatting variation, three predefined perturbation tests, and out-of-distribution detection on excluded classes. At the same time, the evidence still does not establish full operational robustness for the deployment scope, because no explicit deployment acceptance threshold is provided and the out-of-distribution evidence reports flagging counts rather than downstream classification performance on unflagged samples. Accordingly, the prior partial support remains warranted and should be maintained rather than strengthened or weakened.","[""The robustness-test report was migrated to a new document-management system. The datasets, tested conditions, test procedures, and reported results were unchanged."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""An out-of-distribution test set contained 1,200 documents from document classes excluded from training."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism."", ""A separate validation team reproduced the reported tests.""]",1420,368,1788,2026-08-14T08:09:43.847070+00:00
RUN_0059__PX_1005_MD,RUN_0059,PX_1005,robustness,C2,model_2,1,PX_1005_MD,material_defeater,a1f864c63c8954cc16a30949c860e6411eae108c18696d70453f31731bb8b527,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,95,weaken,"The original attribution of 'supported' is weakened because the additional information reveals that the system's operational robustness is not fully sustained in deployment. Specifically, when exposed to document templates from a second hospital that fall within the specified deployment categories but were not in the validation corpus, system accuracy dropped severely to 72.6%. Furthermore, the out-of-distribution mechanism only flagged 31.2% of these underperforming documents, indicating that it does not reliably detect this class of operational shift. This demonstrates a significant vulnerability to realistic formatting variations within the intended scope.","[""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism.""]",1391,233,1624,2026-08-14T12:32:14.704782+00:00
RUN_0059__PX_1005_NC,RUN_0059,PX_1005,robustness,C2,model_2,1,PX_1005_NC,non_material_control,adc01c626fbaeab7d2a78115476fa9759d563b3fc59a62a725480da7530854a0,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information regarding the migration of the robustness-test report to a new document-management system does not alter the actual datasets, tested conditions, test procedures, or results. The evidential basis for the operational robustness attribution remains fully intact and unchanged.",[],1341,98,1508,2026-08-14T12:32:16.319820+00:00
