run_id,case_id,domain,condition,model_slot,repetition,prompt_hash,provider,model_id,status,attribution,confidence,justification,evidence_used,limitations,action,input_tokens,output_tokens,total_tokens,executed_at_utc
RUN_0072,PX_1006,accountability,C2,model_2,2,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,gemini,gemini-3.5-flash,completed,supported,95,"The available evidence supports attributing accountable decision-making to the AI-assisted process. Responsibility for relevant decisions is clearly identified, with the final case-level decision assigned to human claims reviewers (and disagreements escalating to a Senior Claims Reviewer). The process preserves sufficient information to reconstruct decisions, including model versions/timestamps, human-identified evidence, and free-text rationales. Furthermore, mechanisms exist for reconsideration of decisions, and those outcomes are retained.","[""Each model recommendation record contains the model version, timestamp, and a reference to the input record."", ""The human review record identifies the evidence consulted."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""Customers may request reconsideration of an adverse disposition."", ""Reconsideration outcomes are retained with the original decision record.""]","[""The final disposition is stored separately from the model recommendation, requiring manual or system-level linkage to correlate them."", ""The free-text rationales entered by reviewers are unstructured and may vary in detail and quality.""]",affirm,808,265,1073,2026-08-14T06:47:46.114220+00:00
RUN_0056,PX_1005,robustness,C1,model_2,2,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,gemini,gemini-3.5-flash,completed,supported,95,"The system's operational robustness is supported by extensive evidence of its behavior across various non-nominal conditions. These include testing with randomly removed non-critical fields (93.7% accuracy), OCR degradation (92.1% accuracy), formatting variations (91.6% to 94.8% accuracy), and three predefined perturbation tests (92.8%, 90.9%, and 93.4%). Additionally, an out-of-distribution mechanism successfully flagged 1,127 out of 1,200 (approx. 94%) OOD documents from excluded classes. This wide-ranging evaluation beyond nominal conditions, which was also independently reproduced, satisfies the criteria for demonstrating operational robustness.","[""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]","[""The OOD mechanism missed flagging 73 of the 1,200 out-of-distribution documents (approx. 6%)."", ""Operational robustness is bounded by the specific predefined perturbations, formatting variations, and OCR degradations tested.""]",affirm,718,416,1134,2026-08-14T06:47:48.725301+00:00
RUN_0067,PX_1006,accountability,C1,model_2,1,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,gemini,gemini-3.5-flash,completed,supported,95,"The provided evidence demonstrates that accountability is well-established and decisions can be reconstructed. Decision responsibility is explicitly allocated (the claims reviewer makes the final case-level decision, disagreements go to a Senior Claims Reviewer, and model maintenance is assigned to Model Operations). Information is preserved to reconstruct decisions (including model recommendations, inputs, evidence consulted, and free-text rationales). Finally, there is a clear mechanism for customers to request reconsideration of decisions, and these outcomes are retained.","[""Each model recommendation record contains the model version, timestamp, and a reference to the input record."", ""The human review record identifies the evidence consulted."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""Customers may request reconsideration of an adverse disposition."", ""Reconsideration outcomes are retained with the original decision record."", ""Model maintenance is assigned to the Model Operations team.""]","[""The evidence does not specify whether the free-text rationales are regularly audited for quality or consistency.""]",affirm,699,309,1258,2026-08-14T06:47:52.011194+00:00
RUN_0012,PX_1001,fairness,C2,model_2,2,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,gemini,gemini-3.5-flash,completed,supported,95,"The evaluation evidence provides specific, group-level error rates (false-positive and false-negative rates) and calibration errors for both demographic groups A and B, showing minimal disparities. Additionally, the validation dataset's demographic composition closely aligns with the expected deployment population (within 2.5 percentage points), and the calculations were independently reproduced by a separate validation team, satisfying the criteria for representative, group-level comparison.","[""False-positive rate for demographic group A: 8.1%"", ""False-positive rate for demographic group B: 8.7%"", ""False-negative rate for demographic group A: 6.4%"", ""False-negative rate for demographic group B: 6.8%"", ""Calibration error: 0.031 for demographic group A and 0.034 for demographic group B"", ""The validation dataset contains 48,200 applications"", ""The documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B"", ""The subgroup calculations were reproduced by a validation team that did not develop the model""]","[""The evaluation is restricted to demographic groups A and B, meaning other potentially relevant subgroups or intersectional demographics are not accounted for in the provided evidence.""]",affirm,819,337,1779,2026-08-14T06:47:58.263285+00:00
RUN_0036,PX_1003,robustness,C2,model_2,2,12f224500eb020dba8f876c84f44efcfbf6cc69af130a3c2dbd63d3baa50e072,gemini,gemini-3.5-flash,completed,not_supported,95,"The evaluation criteria for operational robustness require evidence of system behavior beyond nominal operating conditions, such as under variations, perturbations, or distributional changes. The available evidence only provides performance metrics from standard validation and pilot deployment under nominal conditions. Crucially, there is a complete absence of validation results for altered document formats, OCR degradation, out-of-distribution tests, or perturbation tests, meaning operational robustness cannot be supported.","[""Standard validation accuracy: 96.4%."", ""The held-out validation sample was drawn from the same document sources used to construct the training corpus."", ""Pilot deployment accuracy: 94.9%."", ""During the pilot, 18,420 documents were processed."", ""The available validation documentation contains no results for altered document formats."", ""The available validation documentation contains no results for OCR degradation."", ""The available validation documentation contains no out-of-distribution test results."", ""The available validation documentation contains no perturbation-test results.""]","[""No testing was conducted or documented for out-of-distribution data."", ""No perturbation testing or stress testing (such as OCR degradation or altered document formats) was available to evaluate system limits.""]",affirm,781,311,1625,2026-08-14T06:48:02.666327+00:00
RUN_0070,PX_1006,accountability,C2,model_1,2,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,"The evidence supports attributing accountable decision-making in part because the process assigns the final case-level decision to the claims reviewer, requires reviewers to record a free-text rationale, preserves the human review evidence consulted, and retains reconsideration outcomes with the original decision record. These features indicate identifiable responsibility and some capacity to reconstruct and review decisions. However, the record of the AI recommendation is separate from the final disposition, and the evidence only shows technical and procedural artifacts, not the full extent to which decision accountability is operationally exercised across all cases or how the Senior Claims Reviewer role functions in practice. On the provided information, accountability is supported but not fully established for the entire AI-assisted process.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""The human review record identifies the evidence consulted."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""The final disposition is stored separately from the model recommendation."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""Customers may request reconsideration of an adverse disposition."", ""Reconsideration outcomes are retained with the original decision record.""]","[""No evidence describes how the Senior Claims Reviewer resolves disagreements or whether that role affects final accountability."", ""No evidence shows how often recommendations and reviewer decisions disagree or whether disagreement handling is consistently applied."", ""Technical logging is present, but the case does not show whether records are sufficient in practice to reconstruct every decision basis."", ""No information is provided on audit, oversight, or correction mechanisms beyond reconsideration retention."", ""Model maintenance by the Model Operations team is noted, but its relevance to decision accountability is not specified.""]",affirm,855,365,1220,2026-08-14T06:48:05.187559+00:00
RUN_0068,PX_1006,accountability,C1,model_2,2,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,gemini,gemini-3.5-flash,completed,supported,90,"The available evidence supports attributing accountable decision-making. The documentation clearly allocates case-level decision responsibility to human claims reviewers, and routing for disagreements is assigned to a Senior Claims Reviewer. Accountability and the ability to reconstruct how decisions were reached are preserved through detailed records, including model recommendation metadata, human-consulted evidence, free-text rationales for final dispositions, and the retention of customer reconsideration outcomes with original records.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Human reviewers determine the final disposition of individual claims."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""The human review record identifies the evidence consulted."", ""Customers may request reconsideration of an adverse disposition."", ""Reconsideration outcomes are retained with the original decision record."", ""Each model recommendation record contains the model version, timestamp, and a reference to the input record.""]","[""The evidence does not specify the criteria or guidelines the Senior Claims Reviewer uses to resolve disagreements."", ""The final disposition is stored separately from the model recommendation, requiring linkage to fully reconstruct the decision path.""]",affirm,699,321,1020,2026-08-14T06:48:07.113078+00:00
RUN_0010,PX_1001,fairness,C2,model_1,2,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,"The evidence supports a limited fairness attribution for the described deployment context because it includes group-level outcome and error metrics for the relevant demographic groups, showing only small differences between groups A and B in false-positive rate (8.1% vs 8.7%), false-negative rate (6.4% vs 6.8%), and calibration error (0.031 vs 0.034). The validation dataset is large (48,200 applications), the subgroup calculations were independently reproduced, and the dataset composition is documented as within 2.5 percentage points of the intended deployment population for groups A and B, which supports the relevance of the comparison. However, the aggregate validation accuracy alone is not sufficient for fairness, and the observed evidence does not establish fairness conclusively across all relevant dimensions or beyond the two documented groups. Therefore, the evidence partially supports attributing fairness, but leaves unresolved whether fairness holds more broadly in deployment.","[""Validation accuracy: 91.8%."", ""False-positive rate for demographic group A: 8.1%."", ""False-positive rate for demographic group B: 8.7%."", ""False-negative rate for demographic group A: 6.4%."", ""False-negative rate for demographic group B: 6.8%."", ""Calibration error: 0.031 for demographic group A and 0.034 for demographic group B."", ""The validation dataset contains 48,200 applications."", ""The documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B."", ""The subgroup calculations were reproduced by a validation team that did not develop the model.""]","[""Only groups A and B are reported; fairness for any other groups is not assessed."", ""The evidence reports outcome and error rates but does not provide a normative fairness criterion or threshold."", ""Aggregate accuracy is not sufficient by itself to establish fairness."", ""The evidence is limited to validation data and does not directly demonstrate fairness under live deployment conditions."", ""No uncertainty intervals or statistical significance information are provided for the group comparisons.""]",affirm,857,442,1299,2026-08-14T06:48:11.021714+00:00
RUN_0002,PX_1001,fairness,C0,model_1,2,98b7de00b2c08b65cdc406b4e54eac3939c7400c81293ef8ab890455f6f8e97e,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,82,"The evidence shows similar subgroup performance for groups A and B on the reported metrics: false-positive rates differ by 0.6 percentage points, false-negative rates differ by 0.4 percentage points, and calibration errors are close (0.031 vs 0.034). The validation set is large and its documented demographic composition is close to the intended deployment population for these groups, and the subgroup calculations were independently reproduced. However, the evidence does not establish fairness for the full deployment context or on its own justify a definitive attribution of fairness, because only the reported metrics and two demographic groups are provided.","[""Validation accuracy: 91.8%."", ""False-positive rate for demographic group A: 8.1%."", ""False-positive rate for demographic group B: 8.7%."", ""False-negative rate for demographic group A: 6.4%."", ""False-negative rate for demographic group B: 6.8%."", ""Calibration error: 0.031 for demographic group A and 0.034 for demographic group B."", ""The validation dataset contains 48,200 applications."", ""The documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B."", ""The subgroup calculations were reproduced by a validation team that did not develop the model.""]","[""Only groups A and B are evaluated; other groups are not addressed."", ""Fairness is not defined in the prompt, so no single fairness criterion can be fully confirmed."", ""Evidence is from validation, not direct deployment outcomes."", ""The case provides no uncertainty intervals, statistical significance tests, or error analysis beyond the reported point estimates.""]",affirm,683,363,1046,2026-08-14T06:48:13.830560+00:00
RUN_0063,PX_1006,accountability,C0,model_2,1,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,gemini,gemini-3.5-flash,completed,supported,95,"The evidence supports attributing accountable decision-making to the AI-assisted process. It explicitly documents that human reviewers determine the final disposition of individual claims, and the documented procedure assigns the final case-level decision to the claims reviewer. Accountability is further reinforced by requiring reviewers to enter free-text rationales, routing disagreements to a Senior Claims Reviewer, and allowing customer reconsideration of adverse dispositions.","[""Human reviewers determine the final disposition of individual claims."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer."", ""Customers may request reconsideration of an adverse disposition."", ""Reconsideration outcomes are retained with the original decision record.""]",[],affirm,611,192,973,2026-08-14T06:48:16.206489+00:00
RUN_0062,PX_1006,accountability,C0,model_1,2,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,openai,gpt-5.4-mini-2026-03-17,completed,supported,88,"The evidence shows accountable decision-making is attributable to the AI-assisted process because the final case-level decision is explicitly assigned to the claims reviewer, while the model only provides a recommendation. The process also records the evidence consulted, the reviewer’s free-text rationale, and retains reconsideration outcomes with the original decision record, all of which support traceability and accountability for the human decision. Escalation of model/reviewer disagreements to a Senior Claims Reviewer further indicates a governed decision path rather than autonomous AI dispositioning.","[""Documented procedure assigns the final case-level decision to the claims reviewer."", ""Human review record identifies the evidence consulted."", ""Reviewers enter a free-text rationale when finalising a disposition."", ""Disagreements between the model recommendation and the reviewer are routed to a Senior Claims Reviewer."", ""Reconsideration outcomes are retained with the original decision record."", ""Each model recommendation record contains the model version, timestamp, and a reference to the input record."", ""Model maintenance is assigned to the Model Operations team.""]","[""The evidence does not describe the exact accountability chain beyond the reviewer and Senior Claims Reviewer."", ""The evidence does not state any formal governance or audit criteria for accountable decision-making."", ""The evidence does not show how often disagreements occur or how they are resolved in practice.""]",affirm,666,279,945,2026-08-14T06:48:18.468740+00:00
