blind_id,run_id,case_id,domain,condition,model_slot,repetition,grounding_score,limitation_recognition,unsupported_evidence,grounding_A,grounding_B,grounding_C,limitation_A,limitation_B,limitation_C,unsupported_A,unsupported_B,unsupported_C
ITEM_053,RUN_0060,PX_1005,robustness,C2,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_054,RUN_0072,PX_1006,accountability,C2,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_055,RUN_0012,PX_1001,fairness,C2,model_2,2,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_056,RUN_0053,PX_1005,robustness,C1,model_1,1,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_057,RUN_0042,PX_1004,accountability,C1,model_1,2,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_058,RUN_0030,PX_1003,robustness,C1,model_1,2,4,1,0,4,3,4,1,1,1,0,1,0
ITEM_059,RUN_0056,PX_1005,robustness,C1,model_2,2,3,1,0,3,3,4,1,1,1,0,0,0
ITEM_060,RUN_0011,PX_1001,fairness,C2,model_2,1,4,1,0,2,4,4,1,1,1,0,0,0
ITEM_061,RUN_0070,PX_1006,accountability,C2,model_1,2,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_062,RUN_0066,PX_1006,accountability,C1,model_1,2,3,1,0,3,4,3,1,1,1,0,0,0
ITEM_063,RUN_0026,PX_1003,robustness,C0,model_1,2,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_064,RUN_0067,PX_1006,accountability,C1,model_2,1,3,1,0,3,4,3,1,1,1,0,0,0
ITEM_065,RUN_0036,PX_1003,robustness,C2,model_2,2,3,1,0,2,3,4,1,1,1,0,0,0
ITEM_066,RUN_0020,PX_1002,fairness,C1,model_2,2,3,1,0,1,4,3,1,1,1,0,0,0
ITEM_067,RUN_0009,PX_1001,fairness,C2,model_1,1,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_068,RUN_0013,PX_1002,fairness,C0,model_1,1,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_069,RUN_0021,PX_1002,fairness,C2,model_1,1,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_070,RUN_0023,PX_1002,fairness,C2,model_2,1,3,1,0,1,4,3,1,1,1,0,0,0
ITEM_071,RUN_0071,PX_1006,accountability,C2,model_2,1,2,0,0,1,3,2,0,0,0,0,1,0
ITEM_072,RUN_0049,PX_1005,robustness,C0,model_1,1,3,1,0,3,4,3,1,1,1,0,0,0
