blind_id,run_id,case_id,domain,expected_evidential_state,condition,model_slot,repetition,grounding_A,grounding_B,grounding_C,grounding_pattern,grounding_range,n_grounding_ge_3,limitation_A,limitation_B,limitation_C,limitation_unanimous,unsupported_A,unsupported_B,unsupported_C,unsupported_unanimous
ITEM_042,RUN_0038,PX_1004,accountability,procedural_evidence_incomplete,C0,model_1,2,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_043,RUN_0017,PX_1002,fairness,critical_evidence_missing,C1,model_1,1,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_044,RUN_0048,PX_1004,accountability,procedural_evidence_incomplete,C2,model_2,2,3,3,3,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_045,RUN_0065,PX_1006,accountability,broad_procedural_evidence_present,C1,model_1,1,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_046,RUN_0015,PX_1002,fairness,critical_evidence_missing,C0,model_2,1,1,3,3,two_same_one_different,2,2,1,1,1,1,0,0,0,1
ITEM_047,RUN_0029,PX_1003,robustness,critical_evidence_missing,C1,model_1,1,2,4,4,two_same_one_different,2,2,1,1,1,1,0,0,0,1
ITEM_048,RUN_0005,PX_1001,fairness,broad_evidence_present,C1,model_1,1,2,3,4,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_049,RUN_0069,PX_1006,accountability,broad_procedural_evidence_present,C2,model_1,1,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_050,RUN_0044,PX_1004,accountability,procedural_evidence_incomplete,C1,model_2,2,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_051,RUN_0035,PX_1003,robustness,critical_evidence_missing,C2,model_2,1,2,3,4,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_052,RUN_0031,PX_1003,robustness,critical_evidence_missing,C1,model_2,1,2,3,4,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_053,RUN_0060,PX_1005,robustness,broad_evidence_present,C2,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_054,RUN_0072,PX_1006,accountability,broad_procedural_evidence_present,C2,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_055,RUN_0012,PX_1001,fairness,broad_evidence_present,C2,model_2,2,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_056,RUN_0053,PX_1005,robustness,broad_evidence_present,C1,model_1,1,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_057,RUN_0042,PX_1004,accountability,procedural_evidence_incomplete,C1,model_1,2,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_058,RUN_0030,PX_1003,robustness,critical_evidence_missing,C1,model_1,2,4,3,4,two_same_one_different,1,3,1,1,1,1,0,1,0,0
ITEM_059,RUN_0056,PX_1005,robustness,broad_evidence_present,C1,model_2,2,3,3,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_060,RUN_0011,PX_1001,fairness,broad_evidence_present,C2,model_2,1,2,4,4,two_same_one_different,2,2,1,1,1,1,0,0,0,1
ITEM_061,RUN_0070,PX_1006,accountability,broad_procedural_evidence_present,C2,model_1,2,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_062,RUN_0066,PX_1006,accountability,broad_procedural_evidence_present,C1,model_1,2,3,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_063,RUN_0026,PX_1003,robustness,critical_evidence_missing,C0,model_1,2,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_064,RUN_0067,PX_1006,accountability,broad_procedural_evidence_present,C1,model_2,1,3,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_065,RUN_0036,PX_1003,robustness,critical_evidence_missing,C2,model_2,2,2,3,4,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_066,RUN_0020,PX_1002,fairness,critical_evidence_missing,C1,model_2,2,1,4,3,all_different,3,2,1,1,1,1,0,0,0,1
ITEM_067,RUN_0009,PX_1001,fairness,broad_evidence_present,C2,model_1,1,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_068,RUN_0013,PX_1002,fairness,critical_evidence_missing,C0,model_1,1,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_069,RUN_0021,PX_1002,fairness,critical_evidence_missing,C2,model_1,1,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_070,RUN_0023,PX_1002,fairness,critical_evidence_missing,C2,model_2,1,1,4,3,all_different,3,2,1,1,1,1,0,0,0,1
ITEM_071,RUN_0071,PX_1006,accountability,broad_procedural_evidence_present,C2,model_2,1,1,3,2,all_different,2,1,0,0,0,1,0,1,0,0
ITEM_072,RUN_0049,PX_1005,robustness,broad_evidence_present,C0,model_1,1,3,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
