run_id,case_id,domain,condition,model_slot,repetition,prompt_hash,status
RUN_0067,PX_1006,accountability,C1,model_2,1,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,pending
RUN_0012,PX_1001,fairness,C2,model_2,2,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,pending
RUN_0036,PX_1003,robustness,C2,model_2,2,12f224500eb020dba8f876c84f44efcfbf6cc69af130a3c2dbd63d3baa50e072,pending
RUN_0070,PX_1006,accountability,C2,model_1,2,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,pending
RUN_0068,PX_1006,accountability,C1,model_2,2,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,pending
RUN_0010,PX_1001,fairness,C2,model_1,2,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,pending
RUN_0002,PX_1001,fairness,C0,model_1,2,98b7de00b2c08b65cdc406b4e54eac3939c7400c81293ef8ab890455f6f8e97e,pending
RUN_0063,PX_1006,accountability,C0,model_2,1,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,pending
RUN_0062,PX_1006,accountability,C0,model_1,2,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,pending
RUN_0058,PX_1005,robustness,C2,model_1,2,6c1f63dc11f7b15a860960cb0b5d805990f2f472b3a8a1a9b905687fdd3883bc,pending
RUN_0014,PX_1002,fairness,C0,model_1,2,0aa8df5e1b7add137b23d70b13eacf7229a0f2b3a7439c69d775a0b84399775f,pending
RUN_0029,PX_1003,robustness,C1,model_1,1,8d30aea691ea6645b3dff003c3a3a0746b9b00f5afbba99a7d9fd5fc6f781421,pending
RUN_0004,PX_1001,fairness,C0,model_2,2,98b7de00b2c08b65cdc406b4e54eac3939c7400c81293ef8ab890455f6f8e97e,pending
RUN_0055,PX_1005,robustness,C1,model_2,1,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,pending
RUN_0041,PX_1004,accountability,C1,model_1,1,8f4c8db80fd539b1bd6849c8a257b26b17dc2ff106c8534693478656529c5229,pending
RUN_0033,PX_1003,robustness,C2,model_1,1,12f224500eb020dba8f876c84f44efcfbf6cc69af130a3c2dbd63d3baa50e072,pending
RUN_0005,PX_1001,fairness,C1,model_1,1,815d6cde01baf1e4dde43bc4c3d325f45da7580263de6f78fbc3de3b04d6bd39,pending
RUN_0050,PX_1005,robustness,C0,model_1,2,c694386613145f3a8a8d607d72e35459b3e57e302368d1f1ce8f52bbd26d284c,pending
RUN_0057,PX_1005,robustness,C2,model_1,1,6c1f63dc11f7b15a860960cb0b5d805990f2f472b3a8a1a9b905687fdd3883bc,pending
RUN_0044,PX_1004,accountability,C1,model_2,2,8f4c8db80fd539b1bd6849c8a257b26b17dc2ff106c8534693478656529c5229,pending
RUN_0028,PX_1003,robustness,C0,model_2,2,5dd41d58d1fc7c42037f502a1775f8aebb195db1ae6166fc7346306c90d858fe,pending
RUN_0022,PX_1002,fairness,C2,model_1,2,9648d2259a4074139dadd8759a780cf07a6b31fd1ec13f428bbaae3e88439339,pending
RUN_0040,PX_1004,accountability,C0,model_2,2,6bd839f0c0a6cee5c2ed34c82f3b8cf61edfa465d61da79f8301a199005197ad,pending
RUN_0059,PX_1005,robustness,C2,model_2,1,6c1f63dc11f7b15a860960cb0b5d805990f2f472b3a8a1a9b905687fdd3883bc,pending
RUN_0024,PX_1002,fairness,C2,model_2,2,9648d2259a4074139dadd8759a780cf07a6b31fd1ec13f428bbaae3e88439339,pending
RUN_0015,PX_1002,fairness,C0,model_2,1,0aa8df5e1b7add137b23d70b13eacf7229a0f2b3a7439c69d775a0b84399775f,pending
RUN_0048,PX_1004,accountability,C2,model_2,2,08d81e56d9388c5014d8208acc7235fb5ad866a9e2ef5f74dbcda965dd709d0c,pending
RUN_0060,PX_1005,robustness,C2,model_2,2,6c1f63dc11f7b15a860960cb0b5d805990f2f472b3a8a1a9b905687fdd3883bc,pending
RUN_0035,PX_1003,robustness,C2,model_2,1,12f224500eb020dba8f876c84f44efcfbf6cc69af130a3c2dbd63d3baa50e072,pending
RUN_0045,PX_1004,accountability,C2,model_1,1,08d81e56d9388c5014d8208acc7235fb5ad866a9e2ef5f74dbcda965dd709d0c,pending
RUN_0049,PX_1005,robustness,C0,model_1,1,c694386613145f3a8a8d607d72e35459b3e57e302368d1f1ce8f52bbd26d284c,pending
RUN_0031,PX_1003,robustness,C1,model_2,1,8d30aea691ea6645b3dff003c3a3a0746b9b00f5afbba99a7d9fd5fc6f781421,pending
RUN_0016,PX_1002,fairness,C0,model_2,2,0aa8df5e1b7add137b23d70b13eacf7229a0f2b3a7439c69d775a0b84399775f,pending
RUN_0021,PX_1002,fairness,C2,model_1,1,9648d2259a4074139dadd8759a780cf07a6b31fd1ec13f428bbaae3e88439339,pending
RUN_0064,PX_1006,accountability,C0,model_2,2,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,pending
RUN_0019,PX_1002,fairness,C1,model_2,1,712d87e9719fab4a2d7789ae228190bf487c3482f3c912094a67f90fc247b7fa,pending
RUN_0065,PX_1006,accountability,C1,model_1,1,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,pending
RUN_0032,PX_1003,robustness,C1,model_2,2,8d30aea691ea6645b3dff003c3a3a0746b9b00f5afbba99a7d9fd5fc6f781421,pending
RUN_0038,PX_1004,accountability,C0,model_1,2,6bd839f0c0a6cee5c2ed34c82f3b8cf61edfa465d61da79f8301a199005197ad,pending
RUN_0039,PX_1004,accountability,C0,model_2,1,6bd839f0c0a6cee5c2ed34c82f3b8cf61edfa465d61da79f8301a199005197ad,pending
RUN_0034,PX_1003,robustness,C2,model_1,2,12f224500eb020dba8f876c84f44efcfbf6cc69af130a3c2dbd63d3baa50e072,pending
RUN_0043,PX_1004,accountability,C1,model_2,1,8f4c8db80fd539b1bd6849c8a257b26b17dc2ff106c8534693478656529c5229,pending
RUN_0020,PX_1002,fairness,C1,model_2,2,712d87e9719fab4a2d7789ae228190bf487c3482f3c912094a67f90fc247b7fa,pending
RUN_0003,PX_1001,fairness,C0,model_2,1,98b7de00b2c08b65cdc406b4e54eac3939c7400c81293ef8ab890455f6f8e97e,pending
RUN_0051,PX_1005,robustness,C0,model_2,1,c694386613145f3a8a8d607d72e35459b3e57e302368d1f1ce8f52bbd26d284c,pending
RUN_0018,PX_1002,fairness,C1,model_1,2,712d87e9719fab4a2d7789ae228190bf487c3482f3c912094a67f90fc247b7fa,pending
RUN_0066,PX_1006,accountability,C1,model_1,2,230c330cadbedd15feae569e7a8c7411c69fd65ad18b410e3f2cedf79bd4306a,pending
RUN_0025,PX_1003,robustness,C0,model_1,1,5dd41d58d1fc7c42037f502a1775f8aebb195db1ae6166fc7346306c90d858fe,pending
RUN_0008,PX_1001,fairness,C1,model_2,2,815d6cde01baf1e4dde43bc4c3d325f45da7580263de6f78fbc3de3b04d6bd39,pending
RUN_0027,PX_1003,robustness,C0,model_2,1,5dd41d58d1fc7c42037f502a1775f8aebb195db1ae6166fc7346306c90d858fe,pending
RUN_0069,PX_1006,accountability,C2,model_1,1,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,pending
RUN_0013,PX_1002,fairness,C0,model_1,1,0aa8df5e1b7add137b23d70b13eacf7229a0f2b3a7439c69d775a0b84399775f,pending
RUN_0054,PX_1005,robustness,C1,model_1,2,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,pending
RUN_0071,PX_1006,accountability,C2,model_2,1,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,pending
RUN_0061,PX_1006,accountability,C0,model_1,1,6eefdbeef924823ef618cfa3fdf5250f9bd283ac8c9cde39d23990a75e6a9e8b,pending
RUN_0001,PX_1001,fairness,C0,model_1,1,98b7de00b2c08b65cdc406b4e54eac3939c7400c81293ef8ab890455f6f8e97e,pending
RUN_0046,PX_1004,accountability,C2,model_1,2,08d81e56d9388c5014d8208acc7235fb5ad866a9e2ef5f74dbcda965dd709d0c,pending
RUN_0007,PX_1001,fairness,C1,model_2,1,815d6cde01baf1e4dde43bc4c3d325f45da7580263de6f78fbc3de3b04d6bd39,pending
RUN_0042,PX_1004,accountability,C1,model_1,2,8f4c8db80fd539b1bd6849c8a257b26b17dc2ff106c8534693478656529c5229,pending
